algae 	 Brachiomonas_submarina 	 genomic_data 	 ucBraSubp1 	 10x
algae 	 Brachiomonas_submarina 	 genomic_data 	 ucBraSubp1 	 hic-arima2
algae 	 Brachiomonas_submarina 	 genomic_data 	 ucBraSubp1 	 pacbio
algae 	 Calliblepharis_jubata 	 genomic_data 	 urCalJuba1 	 pacbio
algae 	 Carpodesmia_tamariscifolia 	 genomic_data 	 uoCarTama1 	 10x
algae 	 Carpodesmia_tamariscifolia 	 genomic_data 	 uoCarTama1 	 pacbio
algae 	 Caulacanthus_okamurae 	 genomic_data 	 urCauOkam1 	 10x
algae 	 Ceramium_secundatum 	 genomic_data 	 urCerSecu1 	 pacbio
algae 	 Chaetoceros_curvisetus 	 genomic_data 	 uoChaCurv1 	 pacbio
algae 	 Chloroidium_saccharophilum 	 genomic_data 	 ucCloSacc1 	 pacbio
algae 	 Chondria_scintillans 	 genomic_data 	 urChoScin1 	 10x
algae 	 Chondrus_crispus 	 genomic_data 	 urChoCris1 	 10x
algae 	 Chondrus_crispus 	 genomic_data 	 urChoCris1 	 hic-arima2
algae 	 Chrysotila_carterae 	 genomic_data 	 uhChrCart1 	 10x
algae 	 Chrysotila_carterae 	 genomic_data 	 uhChrCart1 	 pacbio
algae 	 Coscinodiscus_radiatus 	 genomic_data 	 uoCosRadi1 	 hic-arima2
algae 	 Diacronema_lutheri 	 genomic_data 	 uhDiaLuth1 	 10x
algae 	 Diacronema_lutheri 	 genomic_data 	 uhDiaLuth1 	 pacbio
algae 	 Dunaliella_primolecta 	 genomic_data 	 ucDunPrim2 	 10x
algae 	 Dunaliella_primolecta 	 genomic_data 	 ucDunPrim2 	 hic-arima2
algae 	 Dunaliella_primolecta 	 genomic_data 	 ucDunPrim2 	 pacbio
algae 	 Fucus_serratus 	 genomic_data 	 uoFucSerr1 	 10x
algae 	 Fucus_spiralis 	 genomic_data 	 uoFucSpir1 	 10x
algae 	 Halidrys_siliquosa 	 genomic_data 	 uoHalSili1 	 10x
algae 	 Halidrys_siliquosa 	 genomic_data 	 uoHalSili1 	 pacbio
algae 	 Hydrodictyon_reticulatum 	 genomic_data 	 ucHydReti1 	 10x
algae 	 Hydrodictyon_reticulatum 	 genomic_data 	 ucHydReti1 	 hic-arima2
algae 	 Hydrodictyon_reticulatum 	 genomic_data 	 ucHydReti1 	 pacbio
algae 	 Lomentaria_articulata 	 genomic_data 	 urLomArti2 	 10x
algae 	 Melanothamnus_harveyi 	 genomic_data 	 urMelHarv1 	 10x
algae 	 Metacallophyllis_laciniata 	 genomic_data 	 urMetLaci1 	 10x
algae 	 Metacallophyllis_laciniata 	 genomic_data 	 urMetLaci1 	 pacbio
algae 	 Microglena_redcarensis 	 genomic_data 	 ucMicRedc1 	 hic-arima2
algae 	 Osmundea_osmunda 	 genomic_data 	 urOsmOsmu2 	 10x
algae 	 Palmaria_palmata 	 genomic_data 	 urPalPalm1 	 10x
algae 	 Palmaria_palmata 	 genomic_data 	 urPalPalm1 	 pacbio
algae 	 Pelvetia_canaliculata 	 genomic_data 	 uoPelCana1 	 pacbio
algae 	 Plocamium_cartilagineum 	 genomic_data 	 urPloCart1 	 10x
algae 	 Pseudopediastrum_boryanum 	 genomic_data 	 ucPseBory1 	 hic-arima2
algae 	 Pycnococcus_provasolii 	 genomic_data 	 ucPycProv1 	 hic-arima2
algae 	 Pycnococcus_provasolii 	 genomic_data 	 ucPycProv1 	 pacbio
algae 	 Rhodella_violacea 	 genomic_data 	 urRhoViol1 	 10x
algae 	 Rhodomonas_baltica 	 genomic_data 	 uyRhoBalt1 	 hic-arima2
algae 	 Rhodomonas_baltica 	 genomic_data 	 uyRhoBalt1 	 pacbio
