taxon_id	taxon_rank	scientific_name	family	order	class	phylum	kingdom	superkingdom	c_value	tol_clade	scientific_name_underscore	type	tolid	data_type
327064	species	Brachiomonas submarina	Chlamydomonadaceae	Chlamydomonadales	Chlorophyceae	Chlorophyta	Viridiplantae	Eukaryota	0.300048828125	algae	Brachiomonas_submarina	genomic_data	ucBraSubp1	hic-arima2
327064	species	Brachiomonas submarina	Chlamydomonadaceae	Chlamydomonadales	Chlorophyceae	Chlorophyta	Viridiplantae	Eukaryota	0.300048828125	algae	Brachiomonas_submarina	genomic_data	ucBraSubp1	pacbio
31414	species	Calliblepharis jubata	Cystocloniaceae	Gigartinales	Florideophyceae	Rhodophyta	""	Eukaryota	0.1844482421875	algae	Calliblepharis_jubata	genomic_data	urCalJuba1	pacbio
2771340	species	Carpodesmia tamariscifolia	Sargassaceae	Fucales	Phaeophyceae	""	""	Eukaryota	0.35009765625	algae	Carpodesmia_tamariscifolia	genomic_data	uoCarTama1	10x
2771340	species	Carpodesmia tamariscifolia	Sargassaceae	Fucales	Phaeophyceae	""	""	Eukaryota	0.35009765625	algae	Carpodesmia_tamariscifolia	genomic_data	uoCarTama1	pacbio
152008	species	Caulacanthus okamurae	Caulacanthaceae	Gigartinales	Florideophyceae	Rhodophyta	""	Eukaryota	0.1844482421875	algae	Caulacanthus_okamurae	genomic_data	urCauOkam1	10x
193556	species	Ceramium secundatum	Ceramiaceae	Ceramiales	Florideophyceae	Rhodophyta	""	Eukaryota	0.324951171875	algae	Ceramium_secundatum	genomic_data	urCerSecu1	pacbio
230516	species	Chaetoceros curvisetus	Chaetocerotaceae	Chaetocerotales	Coscinodiscophyceae	Bacillariophyta	""	Eukaryota	0.03521728515625	algae	Chaetoceros_curvisetus	genomic_data	uoChaCurv1	pacbio
3082	species	Chloroidium saccharophilum	""	""	Trebouxiophyceae	Chlorophyta	Viridiplantae	Eukaryota	0.60498046875	algae	Chloroidium_saccharophilum	genomic_data	ucCloSacc1	pacbio
1413813	species	Chondria scintillans	Rhodomelaceae	Ceramiales	Florideophyceae	Rhodophyta	""	Eukaryota	0.572265625	algae	Chondria_scintillans	genomic_data	urChoScin1	10x
2769	species	Chondrus crispus	Gigartinaceae	Gigartinales	Florideophyceae	Rhodophyta	""	Eukaryota	0.1483154296875	algae	Chondrus_crispus	genomic_data	urChoCris1	10x
2769	species	Chondrus crispus	Gigartinaceae	Gigartinales	Florideophyceae	Rhodophyta	""	Eukaryota	0.1483154296875	algae	Chondrus_crispus	genomic_data	urChoCris1	hic-arima2
		Chrysotila carterae								algae	Chrysotila_carterae	genomic_data	uhChrCart1	10x
		Chrysotila carterae								algae	Chrysotila_carterae	genomic_data	uhChrCart1	pacbio
33642	species	Coscinodiscus radiatus	Coscinodiscaceae	Coscinodiscales	Coscinodiscophyceae	Bacillariophyta	""	Eukaryota	0.03521728515625	algae	Coscinodiscus_radiatus	genomic_data	uoCosRadi1	hic-arima2
		Diacronema lutheri								algae	Diacronema_lutheri	genomic_data	uhDiaLuth1	10x
		Diacronema lutheri								algae	Diacronema_lutheri	genomic_data	uhDiaLuth1	pacbio
257627	species	Dunaliella primolecta	Dunaliellaceae	Chlamydomonadales	Chlorophyceae	Chlorophyta	Viridiplantae	Eukaryota	0.300048828125	algae	Dunaliella_primolecta	genomic_data	ucDunPrim2	10x
257627	species	Dunaliella primolecta	Dunaliellaceae	Chlamydomonadales	Chlorophyceae	Chlorophyta	Viridiplantae	Eukaryota	0.300048828125	algae	Dunaliella_primolecta	genomic_data	ucDunPrim2	hic-arima2
257627	species	Dunaliella primolecta	Dunaliellaceae	Chlamydomonadales	Chlorophyceae	Chlorophyta	Viridiplantae	Eukaryota	0.300048828125	algae	Dunaliella_primolecta	genomic_data	ucDunPrim2	pacbio
87148	species	Fucus serratus	Fucaceae	Fucales	Phaeophyceae	""	""	Eukaryota	1.021484375	algae	Fucus_serratus	genomic_data	uoFucSerr1	10x
87149	species	Fucus spiralis	Fucaceae	Fucales	Phaeophyceae	""	""	Eukaryota	0.75	algae	Fucus_spiralis	genomic_data	uoFucSpir1	10x
74466	species	Halidrys siliquosa	Sargassaceae	Fucales	Phaeophyceae	""	""	Eukaryota	0.300048828125	algae	Halidrys_siliquosa	genomic_data	uoHalSili1	10x
74466	species	Halidrys siliquosa	Sargassaceae	Fucales	Phaeophyceae	""	""	Eukaryota	0.300048828125	algae	Halidrys_siliquosa	genomic_data	uoHalSili1	pacbio
